time_s,force_n,displacement_m,displacement_mm,velocity_m_s,acceleration_m_s2,acceleration_g
2.229,2.027050298535061e-25,-3.5423691845837743e-12,-3.5423691845837743e-09,1.36671708475288e-09,1.9078449203074663e-06,1.945460397085107e-07
2.23,1.6646446572614921e-25,-2.0747098266785704e-12,-2.0747098266785704e-09,2.6742958829687227e-09,5.732753865099237e-07,5.8457820612535756e-08
2.231,1.3663406834296796e-25,1.3682635665899223e-12,1.3682635665899223e-09,2.1034750267994246e-09,-1.5010121361875472e-06,-1.530606411147076e-07
2.232,1.12090889965046e-25,3.4623977884916407e-12,3.4623977884916405e-09,4.290329378356269e-11,-2.265137256316265e-06,-2.3097971848860365e-07
2.233,9.190714099012181e-26,3.414229302458091e-12,3.4142293024580907e-09,-2.1631117544532883e-09,-1.5932200411836374e-06,-1.6246323068363177e-07
2.234,7.531646511712861e-26,1.0548337591129402e-12,1.0548337591129402e-09,-2.863516090109166e-09,1.452140555196948e-07,1.480771267657098e-08
2.235,6.168602643759492e-26,-2.6629117900827057e-12,-2.662911790082706e-09,-1.5418515078394236e-09,2.1802432756543523e-06,2.2232294164208496e-07
2.236,5.0493406218217917e-26,-3.827378030936861e-12,-3.827378030936861e-09,9.155931765787952e-10,2.224271672408459e-06,2.268125886422437e-07
2.237,4.1307480683560667e-26,-2.9427748710554333e-12,-2.9427748710554334e-09,2.89985607674367e-09,1.0725515919031802e-06,1.0936982475189593e-07
2.238,3.377259438711342e-26,2.839570036387629e-13,2.839570036387629e-10,2.8058440806312524e-09,-9.995013028296804e-07,-1.0192076833879872e-07
2.239,2.759546209899405e-26,3.699635556526799e-12,3.699635556526799e-09,6.951292121047336e-10,-2.6088791463933834e-06,-2.660316363277351e-07
2.24,2.253432991830821e-26,3.793670727279298e-12,3.7936707272792974e-09,-1.8949887155464017e-09,-1.9179463806906685e-06,-1.9557610200126126e-07
2.241,1.8390007141759545e-26,1.9223764627194e-12,1.9223764627194e-09,-3.2582246960787927e-09,-3.0460533381724617e-07,-3.1061099745299993e-08
2.242,1.4998447252710827e-26,-1.7756550803875874e-12,-1.7756550803875873e-09,-2.221149917131963e-09,1.800236321538699e-06,1.8357301642647583e-07
2.243,1.2224611678839903e-26,-3.914631310034452e-12,-3.914631310034452e-09,3.083886788598586e-10,2.4573585584216282e-06,2.505808363122604e-07
2.244,9.957395712812237e-27,-3.2519261027763094e-12,-3.2519261027763093e-09,2.615734958856428e-09,1.356191747041481e-06,1.3829307123650594e-07
2.245,8.105433856910265e-27,-5.637232805729062e-13,-5.637232805729062e-10,3.063923064472167e-09,-5.229304166990922e-07,-5.332406241673683e-08
